ID,B_fighter,Referee,date,location,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_age
10,Darren Stewart,Marc Goddard,6/8/2019,"Chicago, Illinois, USA",1,FALSE,Middleweight,3,1,0,0,5.428571429,4.142857143,12.28571429,9.142857143,37.85714286,11.71428571,5.142857143,3.285714286,45.57142857,17.42857143,0.285714286,4.285714286,2.571428571,0.285714286,0,55.28571429,24.14285714,0.454285714,0,2.428571429,1,0.241428571,65.14285714,32.42857143,2,5,5.285714286,3.571428571,12.28571429,8.571428571,31.42857143,11.42857143,2.714285714,1.714285714,38.42857143,15.71428571,0,2.714285714,2.428571429,0.714285714,0,46.42857143,21.71428571,0.438571429,0.714285714,6.285714286,2.285714286,0.28,56.71428571,31,14,488.7142857,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,185,28
11,Grigorii Popov,Kevin MacDonald,6/8/2019,"Chicago, Illinois, USA",-1,FALSE,Bantamweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Switch,170.18,172.72,135,35
12,Joanne Calderwood,Dan Miragliotta,6/8/2019,"Chicago, Illinois, USA",-1,FALSE,Women's Flyweight,3,0,2,0,21.875,13,14.875,10.25,96.75,44.75,10.25,6.375,75,29,0.375,25,19.375,1.25,0.25,121.875,61.375,0.53625,0.5,2.125,1.125,0.26,162.25,95.625,2,3,15.75,12.125,9.375,7.125,70.375,31.625,6.25,4.625,59.625,25.25,0,10.625,6,1.125,0,86,43.375,0.5425,0.5,1.625,0.75,0.3825,104.875,59.75,18,628.625,0,0,0,3,1,1,0,5,Orthodox,167.64,165.1,125,33
13,Anthony Smith,Marc Goddard,6/1/2019,"Stockholm, Sweden",1,FALSE,Light Heavyweight,5,1,0,0,9.272727273,6.181818182,6.818181818,5.272727273,57.18181818,25.90909091,2.636363636,2,53.36363636,23.27272727,0.454545455,4,3.727272727,0.454545455,0.181818182,66.63636364,33.18181818,0.507272727,0.363636364,1.272727273,0.363636364,0.096363636,71.45454545,37.63636364,3,4,11.54545455,9.090909091,9.363636364,6.454545455,55.09090909,26.36363636,18.09090909,14.63636364,57.90909091,26.45454545,0.181818182,13.09090909,11.90909091,1,0.090909091,82.54545455,47.45454545,0.495454545,0.090909091,2.909090909,1.454545455,0.327272727,118.1818182,80.45454545,27,625,1,0,0,1,5,1,0,7,Orthodox,193.04,193.04,205,30
14,Aleksandar Rakic,Kevin Sataki,6/1/2019,"Stockholm, Sweden",1,FALSE,Light Heavyweight,3,0,3,0,10.33333333,8.333333333,6.666666667,4.666666667,68.33333333,26.33333333,38,29.33333333,86.66666667,40.66666667,0.666666667,16,11.33333333,1.333333333,0,113,60.33333333,0.566666667,0,1.666666667,1,0.25,181,123.6666667,3,0,1.666666667,0,3.333333333,3,30.66666667,12.33333333,3.333333333,3,29.66666667,13.66666667,0.333333333,6,4.666666667,0.333333333,0,37.33333333,18.33333333,0.5,0,5.666666667,0.666666667,0.046666667,49,29.33333333,7,681.6666667,0,0,0,2,1,0,0,3,Orthodox,193.04,198.12,205,27
15,Chris Fishgold,Marc Goddard,6/1/2019,"Stockholm, Sweden",-1,FALSE,Featherweight,3,0,1,0,2.5,1,5,2.5,45.5,13.5,3,1,46.5,13.5,0,4.5,2.5,2.5,0,53.5,17,0.345,1,6,3,0.5,57,19.5,1,1,2,2,1,0.5,27.5,12,12,8,38,18.5,0.5,0.5,0,0.5,0,40.5,20.5,0.505,0,0.5,0.5,0.5,53,30,3,310.5,0,0,0,0,0,1,0,1,Orthodox,172.72,172.72,145,26
16,Christos Giagos,Rich Mitchell,6/1/2019,"Stockholm, Sweden",1,FALSE,Lightweight,3,0,1,0,7,4.2,4.6,2.6,42.8,11,12.8,6.2,52.2,14.8,0,1,0.8,1,0.4,60.2,19.8,0.342,0.2,3,1.2,0.3,76,33.4,1,3,6.4,4.2,5.2,2.6,30.4,12.6,2.2,2,26.6,9.4,0,4.8,3.6,2.2,0.4,37.8,17.2,0.378,0.8,2.4,1.4,0.414,53.6,31.8,10,558.2,0,0,0,1,0,1,0,2,Orthodox,177.8,180.34,155,29
17,Sung Bin Jo,Rebin Saber,6/1/2019,"Stockholm, Sweden",-1,FALSE,Featherweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,145,26
18,Sergey Khandozhko,Leon Roberts,6/1/2019,"Stockholm, Sweden",1,FALSE,Welterweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,170,27
19,Lina Lansberg,Kevin Sataki,6/1/2019,"Stockholm, Sweden",1,FALSE,Women's Bantamweight,3,1,0,0,26,22.2,30.2,24.8,46.6,17.6,1.8,1.2,46.8,16.4,0,5.8,5,0,0,78.6,43.6,0.562,0.2,1.8,0.4,0.228,100.8,62.4,1,3,27,21.4,28.8,22.6,73.8,31.4,15.6,9.8,83.4,36.2,0,7.8,6.2,1.6,0,118.2,63.8,0.526,0.2,3,2,0.724,178.2,115.8,13,720.4,0,0,0,2,0,0,0,2,Orthodox,170.18,165.1,135,37
20,Leonardo Santos,Marc Goddard,6/1/2019,"Stockholm, Sweden",1,FALSE,Lightweight,3,0,4,0,9.666666667,5.166666667,2,1,53.83333333,18.83333333,6.5,5.333333333,46.66666667,15,0.166666667,6,5,1.833333333,0,62.33333333,25.16666667,0.41,0.333333333,3.333333333,0.833333333,0.356666667,75.66666667,36.83333333,4,1,7.833333333,5.5,7.166666667,5.166666667,63.66666667,21.5,3.666666667,2.166666667,56,15.16666667,0.166666667,10.66666667,8.166666667,0,0,74.5,28.83333333,0.385,0,2.5,0.333333333,0.083333333,95.66666667,47,14,656.3333333,1,0,1,1,1,2,0,5,Orthodox,182.88,190.5,155,39
21,Frank Camacho,Leon Roberts,6/1/2019,"Stockholm, Sweden",1,FALSE,Lightweight,3,2,0,0,21.66666667,17.66666667,13.33333333,10.33333333,177.3333333,84,2.333333333,0.666666667,170.3333333,76.33333333,0,1,1,1.333333333,0.666666667,193,95,0.47,0,3.333333333,1.333333333,0.4,231.6666667,131,1,2,24.66666667,18.66666667,12,8.333333333,206,90,7,4.333333333,191,74.66666667,0.666666667,9.333333333,9.333333333,0.333333333,0,225,102.6666667,0.476666667,0.333333333,4.333333333,0.666666667,0.093333333,235.3333333,112.6666667,8,727.6666667,0,0,1,0,0,0,0,1,Orthodox,177.8,185.42,170,30
22,Duda Santana,,6/1/2019,"Stockholm, Sweden",-1,FALSE,Women's Bantamweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,170.18,185.42,145,23
23,Devin Clark,Kevin Sataki,6/1/2019,"Stockholm, Sweden",1,FALSE,Light Heavyweight,3,1,0,0,9.5,7.166666667,12.16666667,9,37.16666667,16.33333333,11.66666667,10.16666667,44.66666667,22.5,0.333333333,6.833333333,5.833333333,1.833333333,0,61,35.5,0.586666667,0.166666667,4.833333333,2.166666667,0.393333333,119.3333333,87.66666667,2,3,13.16666667,11.66666667,15.83333333,13.33333333,33.5,15.5,4.666666667,3.5,33.66666667,14.5,0.333333333,7.166666667,6.166666667,0.166666667,0,54,32.33333333,0.608333333,0.666666667,1,0.166666667,0.166666667,73.83333333,50.66666667,13,620.6666667,0,0,0,3,0,0,0,3,Orthodox,182.88,190.5,205,29
24,Danilo Belluardo,Rebin Saber,6/1/2019,"Stockholm, Sweden",-1,FALSE,Lightweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Southpaw,182.88,187.96,155,24
25,Kevin Lee,Dan Miragliotta,5/18/2019,"Rochester, New York, USA",-1,FALSE,Welterweight,5,1,0,0,12.71428571,9.714285714,6.142857143,4.714285714,83.21428571,26,24.28571429,18.35714286,99.71428571,38.14285714,0,1.214285714,1.214285714,3.214285714,0.071428571,113.6428571,49.07142857,0.45,0.785714286,5.714285714,2.5,0.455,140.4285714,72.85714286,5,4,11.5,7.928571429,4.428571429,3.142857143,71.71428571,32.07142857,4.071428571,3.214285714,62.21428571,24.92857143,0.142857143,6.5,5.571428571,0.142857143,0,80.21428571,38.42857143,0.465714286,0.571428571,2.214285714,0.428571429,0.140714286,89.42857143,46.64285714,36,724.8571429,1,0,1,3,1,4,1,10,Orthodox,175.26,195.58,170,26
26,Ian Heinisch,Todd Ronald Anderson,5/18/2019,"Rochester, New York, USA",1,FALSE,Middleweight,3,0,1,0,10,10,21,14,59,30,15,11,74,38,1,11,7,1,0,95,55,0.57,2,7,1,0.14,133,90,1,0,9,3,8,4,47,22,0,0,39,17,0,7,6,1,0,55,26,0.47,0,11,5,0.45,68,38,3,900,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,185,30
27,Felicia Spencer,Keith Peterson,5/18/2019,"Rochester, New York, USA",1,FALSE,Women's Featherweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,145,28
28,Derrick Krantz,Dan Miragliotta,5/18/2019,"Rochester, New York, USA",-1,FALSE,Welterweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,31
29,Nik Lentz,Todd Ronald Anderson,5/18/2019,"Rochester, New York, USA",-1,FALSE,Lightweight,3,0,2,0,13.18181818,10.59090909,13.22727273,8.863636364,62.04545455,25.54545455,11.95454545,9.5,66.13636364,26.86363636,0.090909091,7.909090909,6.454545455,2.454545455,0.045454545,87.22727273,43.90909091,0.525909091,1.090909091,8.727272727,3,0.315,126.5454545,80.40909091,4,8,8.136363636,6.136363636,11,7.636363636,57.13636364,24.63636364,8.590909091,5.863636364,63.72727273,27.77272727,0.181818182,4.863636364,4.227272727,1.318181818,0.181818182,76.72727273,38.13636364,0.52,0.636363636,3.590909091,2,0.366818182,101.1363636,59.86363636,59,754.9090909,0,0,2,7,3,2,0,14,Orthodox,172.72,172.72,155,34
30,Austin Hubbard,Keith Peterson,5/18/2019,"Rochester, New York, USA",-1,FALSE,Lightweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,155,27
31,Sijara Eubanks,Keith Peterson,5/18/2019,"Rochester, New York, USA",-1,FALSE,Women's Bantamweight,3,0,2,0,18,11,4,3,172,52.5,18,10.5,168,47.5,0.5,8,7.5,2,0,194,66,0.335,0,4,2.5,0.625,221.5,88.5,2,0,9,5.5,3.5,3.5,117.5,33.5,1.5,1.5,109.5,31,0,4,2,0.5,0,122.5,38.5,0.31,0,3,0.5,0.125,160.5,72,6,900,0,0,0,2,0,0,0,2,,162.56,170.18,135,34
32,Charles Jourdain,Dan Miragliotta,5/18/2019,"Rochester, New York, USA",-1,FALSE,Lightweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Switch,175.26,175.26,155,23
33,Michel Pereira,Todd Ronald Anderson,5/18/2019,"Rochester, New York, USA",1,FALSE,Welterweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,170,25
34,Grant Dawson,Keith Peterson,5/18/2019,"Rochester, New York, USA",1,FALSE,Featherweight,3,0,1,0,5,2,12,5,75,28,41,24,115,48,0,8,7,5,0,128,57,0.44,1,11,6,0.54,166,86,1,0,15,9,10,8,62,30,13,11,67,37,0,3,3,0,0,85,49,0.57,1,0,0,0,109,70,3,900,0,0,0,1,0,0,0,1,Switch,177.8,182.88,145,25
35,Ed Herman,Dan Miragliotta,5/18/2019,"Rochester, New York, USA",1,FALSE,Light Heavyweight,3,3,0,0,9.666666667,7.952380952,10.95238095,7.857142857,36.14285714,13.14285714,12.57142857,8.714285714,46.57142857,18.9047619,0.142857143,3.428571429,2.857142857,1.714285714,0.238095238,59.66666667,29.71428571,0.495238095,0.761904762,2.952380952,1.523809524,0.47,88.38095238,56.23809524,3,11,7.380952381,5.666666667,6.80952381,5.285714286,35.95238095,17.33333333,8.571428571,5.666666667,38.71428571,17.9047619,0.142857143,5.238095238,4.714285714,1.619047619,0.333333333,51.33333333,28.28571429,0.595238095,0.904761905,2.571428571,0.952380952,0.178571429,72.23809524,47.28571429,47,560.4761905,1,0,1,2,3,4,0,10,Orthodox,185.42,195.58,205,38
36,Trevin Giles,Todd Ronald Anderson,5/18/2019,"Rochester, New York, USA",-1,FALSE,Middleweight,3,0,2,0,7,6,2.5,2.5,62,38,18.5,15,74.5,48,0.5,1.5,1.5,3,0,83,55.5,0.69,0,2.5,2.5,0.5,93,65.5,2,0,5.5,3.5,0,0,47,10,1.5,1.5,39.5,5.5,0,3.5,2.5,1,0,48.5,11.5,0.22,0,3,1,0.2,60.5,20.5,5,610.5,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,185,26
37,Julian Erosa,Keith Peterson,5/18/2019,"Rochester, New York, USA",-1,FALSE,Featherweight,3,3,0,0,15.75,11.75,11.25,8,45,21,4.75,3.5,42.25,18.25,0,3,2.5,0.5,0,61,32.5,0.515,0.75,1,0.75,0.415,81.75,51.25,1,3,3.75,2.75,9.25,4.75,54.75,23.25,15.25,9.25,67.75,28.75,0.5,7.75,5.75,1.5,0,79.25,37.25,0.5175,0.25,5.75,2.25,0.1975,111,63.5,9,545,0,0,1,0,0,0,0,1,Southpaw,185.42,187.96,145,29
38,Jessica Andrade,Marc Goddard,5/11/2019,"Rio de Janeiro, Rio de Janeiro, Brazil",1,TRUE,Women's Strawweight,5,0,3,0,24.28571429,18.28571429,26.64285714,16.28571429,97.57142857,43.5,17,13.07142857,112,50.07142857,0.142857143,4.928571429,4.5,2.428571429,0.071428571,141.2142857,72.85714286,0.549285714,0.357142857,4,2.357142857,0.524285714,173.5,101.7142857,3,4,13.78571429,9.642857143,17.28571429,11.28571429,91,39.78571429,7.642857143,4.642857143,91.28571429,36,0.071428571,10.85714286,10.07142857,0.785714286,0,115.9285714,55.71428571,0.455,0.571428571,2.857142857,0.714285714,0.27,131.0714286,68.64285714,33,663.8571429,1,0,1,5,2,2,0,10,Orthodox,154.94,157.48,115,27
39,Anderson Silva,Herb Dean,5/11/2019,"Rio de Janeiro, Rio de Janeiro, Brazil",-1,FALSE,Middleweight,3,1,0,0,8.652173913,6.956521739,6.217391304,5.217391304,41.73913043,22.13043478,7.913043478,6.173913043,37.91304348,18.7826087,0.782608696,9.304347826,7.782608696,0.130434783,0.043478261,55.86956522,33.52173913,0.64173913,0.260869565,0.173913043,0.130434783,0.130434783,65.34782609,41.91304348,16,6,6,3.304347826,5.434782609,3,51.91304348,17.26086957,11.43478261,6.739130435,52.82608696,16.39130435,0.130434783,9.956521739,7.304347826,0.782608696,0.043478261,68.7826087,27,0.355217391,0.173913043,3.304347826,0.782608696,0.226086957,99.04347826,53.13043478,58,651.2608696,13,0,0,3,11,3,0,17,Southpaw,187.96,195.58,185,44
40,Alexander Volkanovski,Marc Goddard,5/11/2019,"Rio de Janeiro, Rio de Janeiro, Brazil",1,FALSE,Featherweight,3,0,6,0,11.83333333,8.833333333,14.83333333,10.5,68.5,36.5,36.16666667,25,93,51.16666667,0.666666667,14.66666667,12,2.333333333,0.166666667,119.5,72,0.596666667,0.5,6.5,2.666666667,0.456666667,130.5,81.5,6,0,8.5,5.166666667,7,4.166666667,72.83333333,25.33333333,1.5,1.5,70,23.5,0.166666667,2.833333333,2.333333333,0.5,0.166666667,81.33333333,31,0.375,0,3.5,1,0.401666667,85.83333333,35,15,712.8333333,0,0,0,3,3,0,0,6,Orthodox,167.64,180.34,145,30
41,Laureano Staropoli,Osiris Maia,5/11/2019,"Rio de Janeiro, Rio de Janeiro, Brazil",1,FALSE,Welterweight,3,0,1,0,29,15,5,3,270,94,0,0,235,71,0,11,11,0,0,275,97,0.35,0,0,0,0,277,99,1,0,12,7,12,6,158,63,0,0,136,45,0,22,17,0,0,170,69,0.4,0,0,0,0,173,72,3,900,0,0,0,1,0,0,0,1,Orthodox,185.42,180.34,170,26
42,Bethe Correia,Eduardo Herdy,5/11/2019,"Rio de Janeiro, Rio de Janeiro, Brazil",-1,FALSE,Women's Bantamweight,3,2,0,0,15.875,10.125,11.875,8.375,100.25,42,0.625,0.375,82.375,29.75,0,14.5,10.875,0.25,0.25,112.75,50.75,0.46375,0,1.5,0.375,0.09375,134.75,70.625,3,4,14,10.625,14.375,10,92.625,31.125,4.5,4.125,91,29.25,0.25,6.5,5.375,0.5,0,111.5,45.25,0.42625,0.125,1.75,0.25,0.05125,134.25,64.25,21,702.375,1,0,2,1,1,0,0,4,Orthodox,165.1,162.56,135,35
43,Ryan Spann,Herb Dean,5/11/2019,"Rio de Janeiro, Rio de Janeiro, Brazil",1,FALSE,Light Heavyweight,3,0,1,0,8,8,6,5,68,23,23,18,88,38,0,1,0,5,1,97,46,0.47,1,0,0,0,101,50,1,0,6,6,3,2,35,14,21,14,51,22,0,2,2,2,0,59,30,0.5,1,11,4,0.36,78,48,3,900,0,0,0,1,0,0,0,1,Orthodox,195.58,200.66,205,27
